roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1266144,81109,14,time,6853,3.0,1.0,8222,36476.0,6853.0,8222.0,Bind,second,True,104290,False,,100000,285.0,301.0,B,1.0,4.0
1266145,81109,15,defuse,6853,3.0,4.0,8222,36476.0,6853.0,8222.0,Bind,second,True,21671,True,4193,62478,694.0,354.0,A,5.0,4.0
1266146,81109,16,defuse,6853,4.0,3.0,8222,36476.0,6853.0,8222.0,Bind,second,True,34118,True,16334,62784,693.0,383.0,A,5.0,3.0
1266147,81109,17,defuse,6853,4.0,3.0,8222,36476.0,6853.0,8222.0,Bind,second,True,31733,True,14036,62697,768.0,351.0,A,5.0,4.0
1266148,81109,18,kills,6853,4.0,3.0,8222,36476.0,6853.0,8222.0,Bind,second,,,,,96617,,,,,
1266149,81109,19,kills,6853,4.0,3.0,8222,36476.0,6853.0,8222.0,Bind,second,,,,,54625,,,,,
1265689,81105,1,kills,8221,,,8221,36475.0,8220.0,8221.0,Haven,first,True,35581,False,,63626,157.0,422.0,C,5.0,3.0
1265690,81105,2,kills,8221,1.0,3.0,8221,36475.0,8220.0,8221.0,Haven,first,True,56622,False,,85110,828.0,415.0,A,4.0,2.0
1265691,81105,3,defuse,8220,4.0,3.0,8221,36475.0,8220.0,8221.0,Haven,first,True,59055,True,2713,101342,876.0,402.0,A,5.0,5.0
1265692,81105,4,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,93230,False,,96024,184.0,415.0,C,1.0,1.0
1265693,81105,5,defuse,8220,2.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,96695,True,15404,126291,831.0,414.0,A,4.0,4.0
1265694,81105,6,kills,8220,4.0,2.0,8221,36475.0,8220.0,8221.0,Haven,first,,,,,82320,,,,,
1265695,81105,7,kills,8221,4.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,57504,False,,70116,176.0,415.0,C,4.0,3.0
1265696,81105,8,kills,8220,4.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,,,,,78516,,,,,
1265697,81105,9,kills,8221,4.0,3.0,8221,36475.0,8220.0,8221.0,Haven,first,True,59910,False,,86013,493.0,423.0,B,5.0,4.0
1265698,81105,10,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,92473,False,,101199,179.0,322.0,C,1.0,1.0
1265699,81105,11,kills,8221,4.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,29547,False,,67490,172.0,415.0,C,4.0,1.0
1265700,81105,12,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Haven,first,True,93606,False,,127805,845.0,410.0,A,4.0,2.0
1265701,81105,13,kills,8221,,,8220,36475.0,8220.0,8221.0,Haven,second,,,,,42635,,,,,
1265702,81105,14,defuse,8221,1.0,3.0,8220,36475.0,8220.0,8221.0,Haven,second,True,93822,True,25870,112952,531.0,423.0,B,4.0,4.0
1265703,81105,15,kills,8220,4.0,3.0,8220,36475.0,8220.0,8221.0,Haven,second,True,52658,False,,77695,876.0,424.0,A,4.0,3.0
1265704,81105,16,defuse,8221,4.0,4.0,8220,36475.0,8220.0,8221.0,Haven,second,True,69342,True,11649,102693,855.0,335.0,A,3.0,2.0
1265705,81105,17,defuse,8221,4.0,3.0,8220,36475.0,8220.0,8221.0,Haven,second,True,84451,True,8216,121235,909.0,358.0,A,1.0,2.0
1265706,81105,18,kills,8221,3.0,4.0,8220,36475.0,8220.0,8221.0,Haven,second,,,,,33078,,,,,
1265707,81106,1,bomb,8221,,,8221,36475.0,8220.0,8221.0,Ascent,first,True,64218,False,,110121,893.0,330.0,A,5.0,5.0
1265708,81106,2,kills,8221,1.0,3.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,53262,False,,71259,200.0,297.0,B,3.0,2.0
1265709,81106,3,kills,8221,4.0,3.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,50144,False,,72742,900.0,334.0,A,4.0,2.0
1265710,81106,4,kills,8221,2.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,67068,False,,92366,153.0,312.0,B,4.0,2.0
1265711,81106,5,kills,8221,4.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,51562,False,,84101,893.0,330.0,A,3.0,1.0
1265712,81106,6,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,50592,False,,88505,152.0,342.0,B,4.0,3.0
1265713,81106,7,kills,8221,4.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,78102,False,,101101,901.0,334.0,A,3.0,2.0
1265714,81106,8,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,,,,,62700,,,,,
1265715,81106,9,kills,8221,4.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,42725,False,,70848,153.0,342.0,B,2.0,1.0
1265716,81106,10,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,87153,False,,123937,153.0,342.0,B,2.0,3.0
1265717,81106,11,kills,8221,3.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,84121,False,,106431,835.0,363.0,A,3.0,2.0
1265718,81106,12,defuse,8220,3.0,4.0,8221,36475.0,8220.0,8221.0,Ascent,first,True,23156,True,10000,58156,893.0,330.0,A,4.0,5.0
1265719,81106,13,kills,8221,,,8220,36475.0,8220.0,8221.0,Ascent,second,,,,,37735,,,,,
1265720,81106,14,kills,8220,3.0,3.0,8220,36475.0,8220.0,8221.0,Ascent,second,True,36722,False,,74884,831.0,352.0,A,3.0,1.0
1265721,81106,15,kills,8220,3.0,2.0,8220,36475.0,8220.0,8221.0,Ascent,second,True,20739,False,,30398,832.0,352.0,A,5.0,4.0
1265722,81106,16,kills,8221,4.0,3.0,8220,36475.0,8220.0,8221.0,Ascent,second,,,,,60325,,,,,
1265092,81099,1,kills,212,,,373,36473.0,212.0,373.0,Ascent,first,,,,,73643,,,,,
1265093,81099,2,kills,373,3.0,1.0,373,36473.0,212.0,373.0,Ascent,first,True,48154,False,,86606,832.0,352.0,A,3.0,2.0
1265094,81099,3,kills,373,1.0,4.0,373,36473.0,212.0,373.0,Ascent,first,True,61667,False,,83852,152.0,342.0,B,5.0,4.0
1265095,81099,4,defuse,212,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,True,87780,True,23542,109238,200.0,296.0,B,1.0,3.0
1265096,81099,5,defuse,212,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,True,24952,True,8041,61911,832.0,352.0,A,5.0,5.0
1265097,81099,6,kills,373,4.0,3.0,373,36473.0,212.0,373.0,Ascent,first,True,66442,False,,102447,265.0,215.0,B,4.0,3.0
1265098,81099,7,kills,212,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,,,,,29825,,,,,
1265099,81099,8,kills,212,4.0,2.0,373,36473.0,212.0,373.0,Ascent,first,,,,,86625,,,,,
1265100,81099,9,kills,212,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,,,,,92784,,,,,
1265101,81099,10,kills,373,4.0,2.0,373,36473.0,212.0,373.0,Ascent,first,True,63677,False,,101192,929.0,360.0,A,2.0,1.0
1265102,81099,11,kills,373,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,POST-WIN,53066,,,53066,,,,,
1265103,81099,12,kills,373,4.0,4.0,373,36473.0,212.0,373.0,Ascent,first,True,66748,False,,112656,832.0,352.0,A,3.0,3.0
1265104,81099,13,defuse,373,,,212,36473.0,212.0,373.0,Ascent,second,True,46331,True,3291,88040,268.0,274.0,B,4.0,3.0
1265105,81099,14,kills,373,1.0,3.0,212,36473.0,212.0,373.0,Ascent,second,,,,,42265,,,,,
1265106,81099,15,kills,212,4.0,3.0,212,36473.0,212.0,373.0,Ascent,second,True,63023,False,,76215,196.0,288.0,B,2.0,2.0
1265107,81099,16,defuse,373,3.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,33154,True,18797,59357,821.0,330.0,A,3.0,5.0
1265108,81099,17,kills,373,2.0,4.0,212,36473.0,212.0,373.0,Ascent,second,,,,,60501,,,,,
1265109,81099,18,kills,212,4.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,67453,False,,106170,163.0,325.0,B,4.0,1.0
1265110,81099,19,kills,212,4.0,3.0,212,36473.0,212.0,373.0,Ascent,second,True,66908,False,,96308,833.0,352.0,A,3.0,1.0
1265111,81099,20,kills,212,4.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,34344,False,,40282,832.0,352.0,A,3.0,1.0
1265112,81099,21,kills,212,4.0,2.0,212,36473.0,212.0,373.0,Ascent,second,True,25751,False,,64025,830.0,352.0,A,4.0,3.0
1265113,81099,22,defuse,373,4.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,55602,True,18868,81734,892.0,330.0,A,2.0,5.0
1265114,81099,23,bomb,212,4.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,94536,False,,119650,832.0,352.0,A,4.0,3.0
1265115,81099,24,defuse,373,4.0,4.0,212,36473.0,212.0,373.0,Ascent,second,True,34037,True,15065,63972,156.0,326.0,B,3.0,5.0
1265116,81099,25,kills,212,4.0,4.0,373,36473.0,212.0,373.0,Ascent,overtime,,,,,80331,,,,,
1265117,81099,26,kills,373,4.0,4.0,212,36473.0,212.0,373.0,Ascent,overtime,,,,,54224,,,,,
1265118,81099,27,kills,212,3.0,4.0,373,36473.0,212.0,373.0,Ascent,overtime,,,,,38786,,,,,
1265119,81099,28,bomb,212,4.0,4.0,212,36473.0,212.0,373.0,Ascent,overtime,True,46275,False,,91280,181.0,338.0,B,3.0,3.0
1265120,81100,1,kills,212,,,212,36473.0,212.0,373.0,Breeze,first,True,24419,False,,55295,130.0,319.0,B,4.0,3.0
1265121,81100,2,kills,212,3.0,1.0,212,36473.0,212.0,373.0,Breeze,first,,,,,55398,,,,,
1265122,81100,3,kills,212,3.0,4.0,212,36473.0,212.0,373.0,Breeze,first,True,70792,False,,104519,129.0,321.0,B,4.0,4.0
1265123,81100,4,kills,212,4.0,2.0,212,36473.0,212.0,373.0,Breeze,first,True,91035,False,,123077,810.0,430.0,A,4.0,2.0
1265124,81100,5,defuse,373,4.0,4.0,212,36473.0,212.0,373.0,Breeze,first,True,54533,True,8900,92586,920.0,479.0,A,5.0,4.0
1265125,81100,6,kills,212,4.0,3.0,212,36473.0,212.0,373.0,Breeze,first,True,88663,False,,90491,903.0,500.0,A,4.0,2.0
1265126,81100,7,kills,212,4.0,1.0,212,36473.0,212.0,373.0,Breeze,first,True,30951,False,,60029,131.0,321.0,B,4.0,4.0
1265127,81100,8,bomb,212,4.0,4.0,212,36473.0,212.0,373.0,Breeze,first,True,75848,False,,120877,122.0,312.0,B,2.0,1.0
1265128,81100,9,kills,373,4.0,2.0,212,36473.0,212.0,373.0,Breeze,first,,,,,53628,,,,,
1265129,81100,10,kills,212,4.0,4.0,212,36473.0,212.0,373.0,Breeze,first,True,27519,False,,58647,818.0,500.0,A,4.0,3.0
1265130,81100,11,bomb,212,4.0,3.0,212,36473.0,212.0,373.0,Breeze,first,True,95631,False,,135902,131.0,321.0,B,4.0,3.0
1265131,81100,12,defuse,373,4.0,3.0,212,36473.0,212.0,373.0,Breeze,first,True,63323,True,16794,91529,866.0,504.0,A,3.0,3.0
1265132,81100,13,kills,212,,,373,36473.0,212.0,373.0,Breeze,second,,,,,23323,,,,,
1265133,81100,14,kills,212,3.0,1.0,373,36473.0,212.0,373.0,Breeze,second,,,,,36824,,,,,
1265134,81100,15,kills,373,3.0,4.0,373,36473.0,212.0,373.0,Breeze,second,True,30963,False,,56229,124.0,303.0,B,4.0,3.0
1265135,81100,16,kills,373,4.0,4.0,373,36473.0,212.0,373.0,Breeze,second,True,61814,False,,64333,125.0,311.0,B,4.0,1.0
1265136,81100,17,kills,373,2.0,4.0,373,36473.0,212.0,373.0,Breeze,second,True,79895,False,,120024,134.0,323.0,B,4.0,2.0
1265137,81100,18,kills,373,4.0,4.0,373,36473.0,212.0,373.0,Breeze,second,True,33422,False,,55947,127.0,315.0,B,4.0,3.0
1265138,81100,19,kills,212,2.0,4.0,373,36473.0,212.0,373.0,Breeze,second,,,,,61473,,,,,
1265139,81100,20,kills,212,4.0,4.0,373,36473.0,212.0,373.0,Breeze,second,,,,,62399,,,,,
