Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Role
CruiserGOD  Only,,61,232.3,0.98,69%,141,0.8,0.13,0.25,0.15,23%,13%,01-Aug,20,49,50,8,15,9,Non-Duelist
Oceanman  VOIX,,40,231,1.1,70%,142.6,0.85,0.3,0.05,0.03,42%,13%,01-Aug,34,34,31,12,2,1,Non-Duelist
Zuko  ROG,,42,231,1.22,79%,154.5,0.79,0.26,0.14,0.07,22%,14%,01-Jul,18,33,27,11,6,3,Non-Duelist
GhostVer1f1d  ROG,,42,229.5,0.91,57%,155,0.74,0.19,0.19,0.21,33%,20%,01-May,17,31,34,8,8,9,Non-Duelist
k1Ng  FPG,,319,228.8,1,72%,149.1,0.76,0.26,0.1,0.13,21%,17%,Apr-24,23,243,243,84,32,41,Non-Duelist
tr1ck  p5,(+2),431,228.5,1.12,68%,146.5,0.81,0.19,0.17,0.11,21%,7%,Apr-54,27,348,312,83,72,46,Non-Duelist
M I N G  wm,,66,227.7,1.17,71%,150.8,0.83,0.14,0.2,0.15,32%,9%,01-Nov,22,55,47,9,13,10,Non-Duelist
PokemoN  FPG,(+1),319,227.6,1.14,70%,148.8,0.8,0.27,0.09,0.1,30%,19%,Jul-36,24,255,224,86,28,33,Non-Duelist
AEZ  SUS,,49,224,1.06,71%,147.1,0.76,0.39,0,0.06,19%,,0/5,19,37,35,19,0,3,Non-Duelist
Asitte  KE,,189,223.4,0.93,59%,137.4,0.79,0.12,0.09,0.12,27%,10%,Feb-21,22,149,160,22,17,23,Non-Duelist
hazyy  VOIX,,56,223,0.98,55%,162.2,0.82,0.18,0.21,0.14,32%,11%,01-Sep,38,46,47,10,12,8,Non-Duelist
Harshv  Only,,61,222.7,0.96,79%,140,0.74,0.39,0.05,0.03,18%,,0/8,21,45,47,24,3,2,Non-Duelist
